,rates,start_at,base,end_at
2018-10-05,"{'EUR': 0.1340680261, 'USD': 0.1542586708, 'GBP': 0.1182010752}",2018-01-01,DKK,2021-01-01
2018-10-08,"{'EUR': 0.1340500543, 'USD': 0.1538626523, 'GBP': 0.1179774528}",2018-01-01,DKK,2021-01-01
2018-10-09,"{'EUR': 0.1340626341, 'USD': 0.1533006221, 'GBP': 0.1175461175}",2018-01-01,DKK,2021-01-01
2018-10-10,"{'EUR': 0.1340464605, 'USD': 0.1541534296, 'GBP': 0.1172209488}",2018-01-01,DKK,2021-01-01
2018-10-11,"{'EUR': 0.1340428669, 'USD': 0.1551546184, 'GBP': 0.1172741043}",2018-01-01,DKK,2021-01-01
2018-10-12,"{'EUR': 0.1340446637, 'USD': 0.1551432937, 'GBP': 0.1174767433}",2018-01-01,DKK,2021-01-01
2018-10-15,"{'EUR': 0.1340320873, 'USD': 0.1552225603, 'GBP': 0.1180085512}",2018-01-01,DKK,2021-01-01
2018-10-16,"{'EUR': 0.1340320873, 'USD': 0.1553029795, 'GBP': 0.1174027262}",2018-01-01,DKK,2021-01-01
2018-10-17,"{'EUR': 0.1340410702, 'USD': 0.1545493539, 'GBP': 0.1178824192}",2018-01-01,DKK,2021-01-01
2018-10-18,"{'EUR': 0.1340374769, 'USD': 0.1542101171, 'GBP': 0.1177425408}",2018-01-01,DKK,2021-01-01
2018-10-19,"{'EUR': 0.1340374769, 'USD': 0.153740986, 'GBP': 0.1179797871}",2018-01-01,DKK,2021-01-01
