,rates,start_at,base,end_at
2019-08-14,"{'EUR': 0.1340338838, 'USD': 0.1499571092, 'GBP': 0.1242132211}",2018-01-01,DKK,2021-01-01
2019-08-15,"{'EUR': 0.1340662287, 'USD': 0.149483845, 'GBP': 0.1231572597}",2018-01-01,DKK,2021-01-01
2019-08-16,"{'EUR': 0.1340662287, 'USD': 0.1484917549, 'GBP': 0.12204451}",2018-01-01,DKK,2021-01-01
2019-08-19,"{'EUR': 0.1340806093, 'USD': 0.1488697005, 'GBP': 0.1227950444}",2018-01-01,DKK,2021-01-01
2019-08-20,"{'EUR': 0.1341201717, 'USD': 0.1485515021, 'GBP': 0.1228849249}",2018-01-01,DKK,2021-01-01
2019-08-21,"{'EUR': 0.1341129768, 'USD': 0.1489190494, 'GBP': 0.1227737246}",2018-01-01,DKK,2021-01-01
2019-08-22,"{'EUR': 0.1341237694, 'USD': 0.1486493736, 'GBP': 0.1222538158}",2018-01-01,DKK,2021-01-01
2019-08-23,"{'EUR': 0.1341219705, 'USD': 0.1484059604, 'GBP': 0.121317346}",2018-01-01,DKK,2021-01-01
2019-08-26,"{'EUR': 0.1341129768, 'USD': 0.149079985, 'GBP': 0.1217853119}",2018-01-01,DKK,2021-01-01
2019-08-27,"{'EUR': 0.1340878007, 'USD': 0.1488910939, 'GBP': 0.1212623026}",2018-01-01,DKK,2021-01-01
2019-08-28,"{'EUR': 0.1340878007, 'USD': 0.1486095095, 'GBP': 0.1217825632}",2018-01-01,DKK,2021-01-01
2019-08-29,"{'EUR': 0.1341021859, 'USD': 0.1484779402, 'GBP': 0.1214040499}",2018-01-01,DKK,2021-01-01
2019-08-30,"{'EUR': 0.1341165741, 'USD': 0.1480110512, 'GBP': 0.1214626754}",2018-01-01,DKK,2021-01-01
2019-09-02,"{'EUR': 0.1341147754, 'USD': 0.1470970857, 'GBP': 0.121803039}",2018-01-01,DKK,2021-01-01
2019-09-03,"{'EUR': 0.1341093796, 'USD': 0.1466754285, 'GBP': 0.1218853097}",2018-01-01,DKK,2021-01-01
2019-09-04,"{'EUR': 0.1340770138, 'USD': 0.1477260538, 'GBP': 0.1210112088}",2018-01-01,DKK,2021-01-01
2019-09-05,"{'EUR': 0.1340698236, 'USD': 0.1482544109, 'GBP': 0.1200997479}",2018-01-01,DKK,2021-01-01
2019-09-06,"{'EUR': 0.1340231056, 'USD': 0.1477872785, 'GBP': 0.1201316107}",2018-01-01,DKK,2021-01-01
2019-09-09,"{'EUR': 0.1340518513, 'USD': 0.1478994075, 'GBP': 0.1196747902}",2018-01-01,DKK,2021-01-01
2019-09-10,"{'EUR': 0.1340338838, 'USD': 0.1479734077, 'GBP': 0.1196922582}",2018-01-01,DKK,2021-01-01
2019-09-11,"{'EUR': 0.1340356803, 'USD': 0.147479459, 'GBP': 0.1194700229}",2018-01-01,DKK,2021-01-01
2019-09-12,"{'EUR': 0.1340087374, 'USD': 0.1469137788, 'GBP': 0.1191605693}",2018-01-01,DKK,2021-01-01
2019-09-13,"{'EUR': 0.1339082461, 'USD': 0.1485845898, 'GBP': 0.1193028737}",2018-01-01,DKK,2021-01-01
2019-09-16,"{'EUR': 0.1339225927, 'USD': 0.1477300121, 'GBP': 0.1185348868}",2018-01-01,DKK,2021-01-01
2019-09-17,"{'EUR': 0.1339207992, 'USD': 0.1476610732, 'GBP': 0.1189390794}",2018-01-01,DKK,2021-01-01
2019-09-18,"{'EUR': 0.1339172124, 'USD': 0.1480186948, 'GBP': 0.1188113508}",2018-01-01,DKK,2021-01-01
2019-09-19,"{'EUR': 0.1339190058, 'USD': 0.1482081637, 'GBP': 0.1188330298}",2018-01-01,DKK,2021-01-01
2019-09-20,"{'EUR': 0.1339261799, 'USD': 0.1477205764, 'GBP': 0.1181630685}",2018-01-01,DKK,2021-01-01
2019-09-23,"{'EUR': 0.1339333548, 'USD': 0.1471257902, 'GBP': 0.1183207436}",2018-01-01,DKK,2021-01-01
2019-09-24,"{'EUR': 0.1339387364, 'USD': 0.1473727917, 'GBP': 0.1180710143}",2018-01-01,DKK,2021-01-01
2019-09-25,"{'EUR': 0.1339620619, 'USD': 0.1471171364, 'GBP': 0.1187814811}",2018-01-01,DKK,2021-01-01
2019-09-26,"{'EUR': 0.1339710355, 'USD': 0.1465375186, 'GBP': 0.1185710649}",2018-01-01,DKK,2021-01-01
2019-09-27,"{'EUR': 0.1339387364, 'USD': 0.1464620083, 'GBP': 0.1189081314}",2018-01-01,DKK,2021-01-01
2019-09-30,"{'EUR': 0.1339369425, 'USD': 0.1458439367, 'GBP': 0.1186319681}",2018-01-01,DKK,2021-01-01
2019-10-01,"{'EUR': 0.133949501, 'USD': 0.1459781662, 'GBP': 0.1191547786}",2018-01-01,DKK,2021-01-01
2019-10-02,"{'EUR': 0.133931561, 'USD': 0.1463202304, 'GBP': 0.1191589098}",2018-01-01,DKK,2021-01-01
2019-10-03,"{'EUR': 0.1339477068, 'USD': 0.1466861337, 'GBP': 0.1189321689}",2018-01-01,DKK,2021-01-01
2019-10-04,"{'EUR': 0.1339297672, 'USD': 0.1470414914, 'GBP': 0.1192577612}",2018-01-01,DKK,2021-01-01
2019-10-07,"{'EUR': 0.133906453, 'USD': 0.1472033637, 'GBP': 0.1193842981}",2018-01-01,DKK,2021-01-01
2019-10-08,"{'EUR': 0.1338885244, 'USD': 0.1470899329, 'GBP': 0.1202252005}",2018-01-01,DKK,2021-01-01
2019-10-09,"{'EUR': 0.1338849393, 'USD': 0.1470190518, 'GBP': 0.1202956179}",2018-01-01,DKK,2021-01-01
2019-10-10,"{'EUR': 0.1338974881, 'USD': 0.1476889294, 'GBP': 0.1207152804}",2018-01-01,DKK,2021-01-01
2019-10-11,"{'EUR': 0.1338903171, 'USD': 0.1478550771, 'GBP': 0.1171781277}",2018-01-01,DKK,2021-01-01
2019-10-14,"{'EUR': 0.1338885244, 'USD': 0.1476924313, 'GBP': 0.1177991404}",2018-01-01,DKK,2021-01-01
2019-10-15,"{'EUR': 0.1338706007, 'USD': 0.1473513702, 'GBP': 0.1165450675}",2018-01-01,DKK,2021-01-01
2019-10-16,"{'EUR': 0.133847307, 'USD': 0.147566656, 'GBP': 0.1158582289}",2018-01-01,DKK,2021-01-01
2019-10-17,"{'EUR': 0.1338562651, 'USD': 0.1487544675, 'GBP': 0.1162407806}",2018-01-01,DKK,2021-01-01
2019-10-18,"{'EUR': 0.1338652245, 'USD': 0.1491794062, 'GBP': 0.1157064068}",2018-01-01,DKK,2021-01-01
2019-10-21,"{'EUR': 0.1338544734, 'USD': 0.1495556031, 'GBP': 0.115021149}",2018-01-01,DKK,2021-01-01
2019-10-22,"{'EUR': 0.1338544734, 'USD': 0.1489800289, 'GBP': 0.1152018525}",2018-01-01,DKK,2021-01-01
2019-10-23,"{'EUR': 0.1338562651, 'USD': 0.1488883237, 'GBP': 0.1156625216}",2018-01-01,DKK,2021-01-01
2019-10-24,"{'EUR': 0.1338598487, 'USD': 0.1489592397, 'GBP': 0.1155049863}",2018-01-01,DKK,2021-01-01
2019-10-25,"{'EUR': 0.1338616406, 'USD': 0.1486801242, 'GBP': 0.1159215035}",2018-01-01,DKK,2021-01-01
2019-10-28,"{'EUR': 0.1338562651, 'USD': 0.1484064412, 'GBP': 0.1155554366}",2018-01-01,DKK,2021-01-01
2019-10-29,"{'EUR': 0.1338580569, 'USD': 0.1485155141, 'GBP': 0.1155569834}",2018-01-01,DKK,2021-01-01
2019-10-30,"{'EUR': 0.1338526817, 'USD': 0.1486567883, 'GBP': 0.1153810117}",2018-01-01,DKK,2021-01-01
2019-10-31,"{'EUR': 0.1338544734, 'USD': 0.1493012796, 'GBP': 0.1152928736}",2018-01-01,DKK,2021-01-01
2019-11-01,"{'EUR': 0.133847307, 'USD': 0.1490925153, 'GBP': 0.1151193918}",2018-01-01,DKK,2021-01-01
2019-11-04,"{'EUR': 0.1338455155, 'USD': 0.1493448262, 'GBP': 0.1155996948}",2018-01-01,DKK,2021-01-01
2019-11-05,"{'EUR': 0.133847307, 'USD': 0.1486909733, 'GBP': 0.1152599315}",2018-01-01,DKK,2021-01-01
2019-11-06,"{'EUR': 0.1338455155, 'USD': 0.1484346767, 'GBP': 0.1151513124}",2018-01-01,DKK,2021-01-01
2019-11-07,"{'EUR': 0.1338329764, 'USD': 0.148246788, 'GBP': 0.1156879015}",2018-01-01,DKK,2021-01-01
2019-11-08,"{'EUR': 0.1338204397, 'USD': 0.1476574732, 'GBP': 0.1152970145}",2018-01-01,DKK,2021-01-01
2019-11-11,"{'EUR': 0.1338293943, 'USD': 0.1477610342, 'GBP': 0.1147493375}",2018-01-01,DKK,2021-01-01
2019-11-12,"{'EUR': 0.1338276033, 'USD': 0.147411105, 'GBP': 0.1148508491}",2018-01-01,DKK,2021-01-01
2019-11-13,"{'EUR': 0.1338240214, 'USD': 0.147286718, 'GBP': 0.1147674808}",2018-01-01,DKK,2021-01-01
2019-11-14,"{'EUR': 0.1338329764, 'USD': 0.1471761242, 'GBP': 0.114618576}",2018-01-01,DKK,2021-01-01
2019-11-15,"{'EUR': 0.1338276033, 'USD': 0.1476653775, 'GBP': 0.114636725}",2018-01-01,DKK,2021-01-01
2019-11-18,"{'EUR': 0.1338222305, 'USD': 0.1480207692, 'GBP': 0.1141905093}",2018-01-01,DKK,2021-01-01
2019-11-19,"{'EUR': 0.1338311853, 'USD': 0.148244804, 'GBP': 0.1145233602}",2018-01-01,DKK,2021-01-01
2019-11-20,"{'EUR': 0.133813277, 'USD': 0.147984103, 'GBP': 0.1146980503}",2018-01-01,DKK,2021-01-01
2019-11-21,"{'EUR': 0.1338114864, 'USD': 0.1484103195, 'GBP': 0.1144730504}",2018-01-01,DKK,2021-01-01
2019-11-22,"{'EUR': 0.1338204397, 'USD': 0.1479786423, 'GBP': 0.1150588141}",2018-01-01,DKK,2021-01-01
2019-11-25,"{'EUR': 0.1338401413, 'USD': 0.1473312276, 'GBP': 0.1144533969}",2018-01-01,DKK,2021-01-01
2019-11-26,"{'EUR': 0.1338329764, 'USD': 0.14748394, 'GBP': 0.1147149358}",2018-01-01,DKK,2021-01-01
2019-11-27,"{'EUR': 0.133847307, 'USD': 0.1473525003, 'GBP': 0.1143725238}",2018-01-01,DKK,2021-01-01
2019-11-28,"{'EUR': 0.1338419327, 'USD': 0.1472930469, 'GBP': 0.1140065583}",2018-01-01,DKK,2021-01-01
2019-11-29,"{'EUR': 0.1338455155, 'USD': 0.1469891451, 'GBP': 0.1140698406}",2018-01-01,DKK,2021-01-01
2019-12-02,"{'EUR': 0.133847307, 'USD': 0.1475398865, 'GBP': 0.1140619981}",2018-01-01,DKK,2021-01-01
2019-12-03,"{'EUR': 0.1338347676, 'USD': 0.1481684712, 'GBP': 0.114027222}",2018-01-01,DKK,2021-01-01
2019-12-04,"{'EUR': 0.1338419327, 'USD': 0.1483102456, 'GBP': 0.1132436592}",2018-01-01,DKK,2021-01-01
2019-12-05,"{'EUR': 0.1338401413, 'USD': 0.1484822528, 'GBP': 0.1130547674}",2018-01-01,DKK,2021-01-01
2019-12-06,"{'EUR': 0.1338293943, 'USD': 0.14847033, 'GBP': 0.1130229384}",2018-01-01,DKK,2021-01-01
2019-12-09,"{'EUR': 0.1338276033, 'USD': 0.1482140706, 'GBP': 0.1126761506}",2018-01-01,DKK,2021-01-01
2019-12-10,"{'EUR': 0.133813277, 'USD': 0.1482249669, 'GBP': 0.1125008363}",2018-01-01,DKK,2021-01-01
2019-12-11,"{'EUR': 0.133818649, 'USD': 0.1482041537, 'GBP': 0.1127355208}",2018-01-01,DKK,2021-01-01
2019-12-12,"{'EUR': 0.1338114864, 'USD': 0.1490258524, 'GBP': 0.1131509929}",2018-01-01,DKK,2021-01-01
2019-12-13,"{'EUR': 0.133813277, 'USD': 0.1495229557, 'GBP': 0.1117447913}",2018-01-01,DKK,2021-01-01
2019-12-16,"{'EUR': 0.133813277, 'USD': 0.1491482785, 'GBP': 0.111620345}",2018-01-01,DKK,2021-01-01
2019-12-17,"{'EUR': 0.133813277, 'USD': 0.1493623797, 'GBP': 0.113404076}",2018-01-01,DKK,2021-01-01
2019-12-18,"{'EUR': 0.1338329764, 'USD': 0.1487553533, 'GBP': 0.1138316381}",2018-01-01,DKK,2021-01-01
2019-12-19,"{'EUR': 0.1338276033, 'USD': 0.1487761466, 'GBP': 0.1138511569}",2018-01-01,DKK,2021-01-01
2019-12-20,"{'EUR': 0.1338329764, 'USD': 0.148514454, 'GBP': 0.1139360278}",2018-01-01,DKK,2021-01-01
2019-12-23,"{'EUR': 0.1338347676, 'USD': 0.1482220051, 'GBP': 0.1147071026}",2018-01-01,DKK,2021-01-01
2019-12-24,"{'EUR': 0.133847307, 'USD': 0.1483028161, 'GBP': 0.1144836171}",2018-01-01,DKK,2021-01-01
2019-12-27,"{'EUR': 0.1338616406, 'USD': 0.1492958878, 'GBP': 0.1139564146}",2018-01-01,DKK,2021-01-01
2019-12-30,"{'EUR': 0.133874185, 'USD': 0.1497918256, 'GBP': 0.1140715156}",2018-01-01,DKK,2021-01-01
2019-12-31,"{'EUR': 0.1338419327, 'USD': 0.1503580272, 'GBP': 0.1138727163}",2018-01-01,DKK,2021-01-01
2020-01-02,"{'EUR': 0.1338347676, 'USD': 0.1498012554, 'GBP': 0.1135293567}",2018-01-01,DKK,2021-01-01
2020-01-03,"{'EUR': 0.133813277, 'USD': 0.1491616598, 'GBP': 0.1138951707}",2018-01-01,DKK,2021-01-01
2020-01-06,"{'EUR': 0.1338114864, 'USD': 0.1497885779, 'GBP': 0.1140274581}",2018-01-01,DKK,2021-01-01
2020-01-07,"{'EUR': 0.133813277, 'USD': 0.149496193, 'GBP': 0.1139861637}",2018-01-01,DKK,2021-01-01
2020-01-08,"{'EUR': 0.133813277, 'USD': 0.1487334573, 'GBP': 0.1135646519}",2018-01-01,DKK,2021-01-01
2020-01-09,"{'EUR': 0.133813277, 'USD': 0.1486665507, 'GBP': 0.1141226532}",2018-01-01,DKK,2021-01-01
2020-01-10,"{'EUR': 0.133813277, 'USD': 0.1484123055, 'GBP': 0.1134870402}",2018-01-01,DKK,2021-01-01
2020-01-13,"{'EUR': 0.1338114864, 'USD': 0.1488786597, 'GBP': 0.1147567307}",2018-01-01,DKK,2021-01-01
2020-01-14,"{'EUR': 0.133813277, 'USD': 0.1487334573, 'GBP': 0.1145682515}",2018-01-01,DKK,2021-01-01
2020-01-15,"{'EUR': 0.1338204397, 'USD': 0.149102734, 'GBP': 0.1146613674}",2018-01-01,DKK,2021-01-01
2020-01-16,"{'EUR': 0.1338168582, 'USD': 0.149460049, 'GBP': 0.1143732687}",2018-01-01,DKK,2021-01-01
2020-01-17,"{'EUR': 0.1338168582, 'USD': 0.1486437661, 'GBP': 0.1138848372}",2018-01-01,DKK,2021-01-01
2020-01-20,"{'EUR': 0.1338222305, 'USD': 0.1483419426, 'GBP': 0.1141169071}",2018-01-01,DKK,2021-01-01
2020-01-21,"{'EUR': 0.1338240214, 'USD': 0.1487453998, 'GBP': 0.1137905654}",2018-01-01,DKK,2021-01-01
2020-01-22,"{'EUR': 0.1338168582, 'USD': 0.1483761324, 'GBP': 0.1130016459}",2018-01-01,DKK,2021-01-01
2020-01-23,"{'EUR': 0.1338114864, 'USD': 0.1484103195, 'GBP': 0.1130680298}",2018-01-01,DKK,2021-01-01
2020-01-24,"{'EUR': 0.1338150676, 'USD': 0.1476649271, 'GBP': 0.1128234979}",2018-01-01,DKK,2021-01-01
2020-01-27,"{'EUR': 0.133818649, 'USD': 0.1475350605, 'GBP': 0.1128867359}",2018-01-01,DKK,2021-01-01
2020-01-28,"{'EUR': 0.133818649, 'USD': 0.1472674232, 'GBP': 0.1132145916}",2018-01-01,DKK,2021-01-01
2020-01-29,"{'EUR': 0.133818649, 'USD': 0.1472138957, 'GBP': 0.1131838133}",2018-01-01,DKK,2021-01-01
2020-01-30,"{'EUR': 0.1338168582, 'USD': 0.147586613, 'GBP': 0.1126510458}",2018-01-01,DKK,2021-01-01
2020-01-31,"{'EUR': 0.133813277, 'USD': 0.1478904337, 'GBP': 0.1126373259}",2018-01-01,DKK,2021-01-01
2020-02-03,"{'EUR': 0.1338168582, 'USD': 0.1480817353, 'GBP': 0.1134432416}",2018-01-01,DKK,2021-01-01
2020-02-04,"{'EUR': 0.1338168582, 'USD': 0.147840865, 'GBP': 0.1135837493}",2018-01-01,DKK,2021-01-01
2020-02-05,"{'EUR': 0.133818649, 'USD': 0.1475082968, 'GBP': 0.1130018199}",2018-01-01,DKK,2021-01-01
2020-02-06,"{'EUR': 0.1338240214, 'USD': 0.1472465708, 'GBP': 0.1135296086}",2018-01-01,DKK,2021-01-01
2020-02-07,"{'EUR': 0.1338258123, 'USD': 0.1467935335, 'GBP': 0.1133772282}",2018-01-01,DKK,2021-01-01
2020-02-10,"{'EUR': 0.1338258123, 'USD': 0.1465526471, 'GBP': 0.1132541085}",2018-01-01,DKK,2021-01-01
2020-02-11,"{'EUR': 0.1338311853, 'USD': 0.1458893751, 'GBP': 0.112853147}",2018-01-01,DKK,2021-01-01
2020-02-12,"{'EUR': 0.1338365588, 'USD': 0.1460692203, 'GBP': 0.1125003346}",2018-01-01,DKK,2021-01-01
2020-02-13,"{'EUR': 0.1338311853, 'USD': 0.1454343491, 'GBP': 0.1115817508}",2018-01-01,DKK,2021-01-01
2020-02-14,"{'EUR': 0.1338455155, 'USD': 0.1451153079, 'GBP': 0.1113701765}",2018-01-01,DKK,2021-01-01
2020-02-17,"{'EUR': 0.1338670165, 'USD': 0.1450449124, 'GBP': 0.1114282272}",2018-01-01,DKK,2021-01-01
2020-02-18,"{'EUR': 0.1338652245, 'USD': 0.1447886268, 'GBP': 0.1110880565}",2018-01-01,DKK,2021-01-01
2020-02-19,"{'EUR': 0.1338813543, 'USD': 0.1445918627, 'GBP': 0.1113196685}",2018-01-01,DKK,2021-01-01
2020-02-20,"{'EUR': 0.1339028669, 'USD': 0.1444811933, 'GBP': 0.1122641636}",2018-01-01,DKK,2021-01-01
2020-02-21,"{'EUR': 0.1338652245, 'USD': 0.144587829, 'GBP': 0.111790849}",2018-01-01,DKK,2021-01-01
2020-02-24,"{'EUR': 0.1338706007, 'USD': 0.1448212158, 'GBP': 0.1122277407}",2018-01-01,DKK,2021-01-01
2020-02-25,"{'EUR': 0.1338670165, 'USD': 0.1451118459, 'GBP': 0.1119529859}",2018-01-01,DKK,2021-01-01
2020-02-26,"{'EUR': 0.1338508901, 'USD': 0.145562843, 'GBP': 0.112635524}",2018-01-01,DKK,2021-01-01
2020-02-27,"{'EUR': 0.1338240214, 'USD': 0.1467246571, 'GBP': 0.113743727}",2018-01-01,DKK,2021-01-01
2020-02-28,"{'EUR': 0.1338276033, 'USD': 0.1469025601, 'GBP': 0.1141750197}",2018-01-01,DKK,2021-01-01
2020-03-02,"{'EUR': 0.1338150676, 'USD': 0.1488291182, 'GBP': 0.1165703198}",2018-01-01,DKK,2021-01-01
2020-03-03,"{'EUR': 0.1338150676, 'USD': 0.1487622106, 'GBP': 0.1164324903}",2018-01-01,DKK,2021-01-01
2020-03-04,"{'EUR': 0.1338204397, 'USD': 0.1488752392, 'GBP': 0.1162230519}",2018-01-01,DKK,2021-01-01
2020-03-05,"{'EUR': 0.133847307, 'USD': 0.1497349823, 'GBP': 0.116005461}",2018-01-01,DKK,2021-01-01
2020-03-06,"{'EUR': 0.133874185, 'USD': 0.1517597762, 'GBP': 0.1166914334}",2018-01-01,DKK,2021-01-01
2020-03-09,"{'EUR': 0.1338777696, 'USD': 0.1533703728, 'GBP': 0.1169864114}",2018-01-01,DKK,2021-01-01
2020-03-10,"{'EUR': 0.1338437241, 'USD': 0.1524480017, 'GBP': 0.1169593383}",2018-01-01,DKK,2021-01-01
2020-03-11,"{'EUR': 0.1338222305, 'USD': 0.1517008806, 'GBP': 0.117348714}",2018-01-01,DKK,2021-01-01
2020-03-12,"{'EUR': 0.1338204397, 'USD': 0.1504141743, 'GBP': 0.1185956883}",2018-01-01,DKK,2021-01-01
2020-03-13,"{'EUR': 0.1338114864, 'USD': 0.1485842745, 'GBP': 0.1191858909}",2018-01-01,DKK,2021-01-01
2020-03-16,"{'EUR': 0.133813277, 'USD': 0.1492954731, 'GBP': 0.1216603551}",2018-01-01,DKK,2021-01-01
2020-03-17,"{'EUR': 0.1338114864, 'USD': 0.1469517743, 'GBP': 0.1215316063}",2018-01-01,DKK,2021-01-01
2020-03-18,"{'EUR': 0.1338114864, 'USD': 0.1463094792, 'GBP': 0.1233608093}",2018-01-01,DKK,2021-01-01
2020-03-19,"{'EUR': 0.133813277, 'USD': 0.1445317204, 'GBP': 0.1244262756}",2018-01-01,DKK,2021-01-01
2020-03-20,"{'EUR': 0.1338849393, 'USD': 0.1433506045, 'GBP': 0.1218727825}",2018-01-01,DKK,2021-01-01
2020-03-23,"{'EUR': 0.1338580569, 'USD': 0.1443391428, 'GBP': 0.1244478355}",2018-01-01,DKK,2021-01-01
2020-03-24,"{'EUR': 0.1339243863, 'USD': 0.1452142121, 'GBP': 0.1233443598}",2018-01-01,DKK,2021-01-01
2020-03-25,"{'EUR': 0.1339010739, 'USD': 0.1449746927, 'GBP': 0.1225234996}",2018-01-01,DKK,2021-01-01
2020-03-26,"{'EUR': 0.1339423244, 'USD': 0.1470820665, 'GBP': 0.1223536345}",2018-01-01,DKK,2021-01-01
2020-03-27,"{'EUR': 0.1340374769, 'USD': 0.1471329384, 'GBP': 0.1202892529}",2018-01-01,DKK,2021-01-01
2020-03-30,"{'EUR': 0.1339279735, 'USD': 0.147776126, 'GBP': 0.1190619685}",2018-01-01,DKK,2021-01-01
2020-03-31,"{'EUR': 0.133915419, 'USD': 0.1467177331, 'GBP': 0.1187066449}",2018-01-01,DKK,2021-01-01
2020-04-01,"{'EUR': 0.1339728303, 'USD': 0.1465126872, 'GBP': 0.1185123657}",2018-01-01,DKK,2021-01-01
2020-04-02,"{'EUR': 0.1339387364, 'USD': 0.1460735859, 'GBP': 0.1175151686}",2018-01-01,DKK,2021-01-01
2020-04-03,"{'EUR': 0.1338885244, 'USD': 0.1443987736, 'GBP': 0.1176210687}",2018-01-01,DKK,2021-01-01
2020-04-06,"{'EUR': 0.1339405304, 'USD': 0.1445352264, 'GBP': 0.1175997857}",2018-01-01,DKK,2021-01-01
2020-04-07,"{'EUR': 0.1339136257, 'USD': 0.1457649816, 'GBP': 0.1179685303}",2018-01-01,DKK,2021-01-01
2020-04-08,"{'EUR': 0.1339764202, 'USD': 0.1456457663, 'GBP': 0.117829582}",2018-01-01,DKK,2021-01-01
2020-04-09,"{'EUR': 0.1339459126, 'USD': 0.1455590233, 'GBP': 0.1172897384}",2018-01-01,DKK,2021-01-01
2020-04-14,"{'EUR': 0.1340069416, 'USD': 0.14691181, 'GBP': 0.1169250767}",2018-01-01,DKK,2021-01-01
2020-04-15,"{'EUR': 0.1339818053, 'USD': 0.1460803623, 'GBP': 0.1170800005}",2018-01-01,DKK,2021-01-01
2020-04-16,"{'EUR': 0.1340141251, 'USD': 0.1459145794, 'GBP': 0.1168107319}",2018-01-01,DKK,2021-01-01
2020-04-17,"{'EUR': 0.1340428669, 'USD': 0.1455705535, 'GBP': 0.1165878048}",2018-01-01,DKK,2021-01-01
2020-04-20,"{'EUR': 0.1340770138, 'USD': 0.145607637, 'GBP': 0.1171068862}",2018-01-01,DKK,2021-01-01
2020-04-21,"{'EUR': 0.1340806093, 'USD': 0.1453031563, 'GBP': 0.1181518329}",2018-01-01,DKK,2021-01-01
2020-04-22,"{'EUR': 0.1340680261, 'USD': 0.145691724, 'GBP': 0.1178726086}",2018-01-01,DKK,2021-01-01
2020-04-23,"{'EUR': 0.1340895987, 'USD': 0.1444413157, 'GBP': 0.11692613}",2018-01-01,DKK,2021-01-01
2020-04-24,"{'EUR': 0.1340895987, 'USD': 0.1448167666, 'GBP': 0.117325717}",2018-01-01,DKK,2021-01-01
2020-04-27,"{'EUR': 0.1340644314, 'USD': 0.1454867209, 'GBP': 0.1169886447}",2018-01-01,DKK,2021-01-01
2020-04-28,"{'EUR': 0.1341021859, 'USD': 0.1458629476, 'GBP': 0.1167735014}",2018-01-01,DKK,2021-01-01
2020-04-29,"{'EUR': 0.1341003876, 'USD': 0.1453916402, 'GBP': 0.1171742366}",2018-01-01,DKK,2021-01-01
2020-04-30,"{'EUR': 0.1340770138, 'USD': 0.1458221602, 'GBP': 0.1165196289}",2018-01-01,DKK,2021-01-01
2020-05-04,"{'EUR': 0.1340087374, 'USD': 0.1466323604, 'GBP': 0.117791}",2018-01-01,DKK,2021-01-01
2020-05-05,"{'EUR': 0.1340266981, 'USD': 0.1453251488, 'GBP': 0.1166836434}",2018-01-01,DKK,2021-01-01
2020-05-06,"{'EUR': 0.1340159211, 'USD': 0.1448310059, 'GBP': 0.1169329116}",2018-01-01,DKK,2021-01-01
2020-05-07,"{'EUR': 0.1340392735, 'USD': 0.1445345486, 'GBP': 0.1172548757}",2018-01-01,DKK,2021-01-01
2020-05-08,"{'EUR': 0.1340518513, 'USD': 0.1453524223, 'GBP': 0.117342288}",2018-01-01,DKK,2021-01-01
2020-05-11,"{'EUR': 0.1340572424, 'USD': 0.1451035592, 'GBP': 0.1178028018}",2018-01-01,DKK,2021-01-01
2020-05-12,"{'EUR': 0.1340895987, 'USD': 0.1455944862, 'GBP': 0.1176944634}",2018-01-01,DKK,2021-01-01
2020-05-13,"{'EUR': 0.1341273673, 'USD': 0.145863512, 'GBP': 0.1183606953}",2018-01-01,DKK,2021-01-01
2020-05-14,"{'EUR': 0.1340967911, 'USD': 0.1447172569, 'GBP': 0.1186689553}",2018-01-01,DKK,2021-01-01
2020-05-15,"{'EUR': 0.1340913967, 'USD': 0.1447918902, 'GBP': 0.1189900236}",2018-01-01,DKK,2021-01-01
2020-05-18,"{'EUR': 0.134141761, 'USD': 0.1453023555, 'GBP': 0.1195914042}",2018-01-01,DKK,2021-01-01
2020-05-19,"{'EUR': 0.1341165741, 'USD': 0.1468576487, 'GBP': 0.1200812746}",2018-01-01,DKK,2021-01-01
2020-05-20,"{'EUR': 0.1341111782, 'USD': 0.146959029, 'GBP': 0.1198390666}",2018-01-01,DKK,2021-01-01
2020-05-21,"{'EUR': 0.1341147754, 'USD': 0.147526253, 'GBP': 0.1206268525}",2018-01-01,DKK,2021-01-01
2020-05-22,"{'EUR': 0.1340878007, 'USD': 0.1462093379, 'GBP': 0.1200930569}",2018-01-01,DKK,2021-01-01
2020-05-25,"{'EUR': 0.1341057826, 'USD': 0.1463094089, 'GBP': 0.1200447913}",2018-01-01,DKK,2021-01-01
2020-05-26,"{'EUR': 0.1341237694, 'USD': 0.1472008369, 'GBP': 0.1192065238}",2018-01-01,DKK,2021-01-01
2020-05-27,"{'EUR': 0.1340788115, 'USD': 0.1473660217, 'GBP': 0.1201279112}",2018-01-01,DKK,2021-01-01
2020-05-28,"{'EUR': 0.134148959, 'USD': 0.1477784932, 'GBP': 0.1203691779}",2018-01-01,DKK,2021-01-01
2020-05-29,"{'EUR': 0.1341525583, 'USD': 0.1493922889, 'GBP': 0.1208553567}",2018-01-01,DKK,2021-01-01
2020-06-01,"{'EUR': 0.1341399616, 'USD': 0.1491099814, 'GBP': 0.1202873278}",2018-01-01,DKK,2021-01-01
2020-06-02,"{'EUR': 0.134154358, 'USD': 0.1499040796, 'GBP': 0.1195087267}",2018-01-01,DKK,2021-01-01
2020-06-03,"{'EUR': 0.1341435604, 'USD': 0.1501603016, 'GBP': 0.1194749621}",2018-01-01,DKK,2021-01-01
2020-06-04,"{'EUR': 0.1341255684, 'USD': 0.1508912644, 'GBP': 0.120290516}",2018-01-01,DKK,2021-01-01
